a,a
A,aa
i,i
I,ii
u,u
U,uu
eV,e
e,ee
E,ai
oV,o
o,oo
O,au
M,M
H,:
k,k
K,kh
g,g
G,gh
c,c
C,ch
j,j
J,jh
t,T
T,Th
d,D
D,Dh
N,N
w,t
W,th
x,d
X,dh
n,n
p,p
P,ph
b,b
B,bh
m,m
y,y
r,r
l,l
v,w
S,s'
s,s
R,S
h,h
lY,L
