a,a
aa,A
i,i
ii,I
u,u
uu,U
e,eV
ee,e
ai,E
o,oV
oo,o
au,O
M,M
:,H
k,k
kh,K
g,g
gh,G
c,c
ch,C
j,j
jh,J
T,t
Th,T
D,d
Dh,D
N,N
t,w
th,W
d,x
dh,X
n,n
p,p
ph,P
b,b
bh,B
m,m
y,y
r,r
l,l
w,v
s',S
s,s
S,R
h,h
L,lY
